nom_compteur,Annee,Mois,Jour,jour_semaine_numero,jour_we,vac_aout,PRECIP_TOTAL_DAY_MM,TOTAL_SNOW_MM,TEMPERATURE_MEAN,jours_feries,Confinement,OPINION,sum_counts
10 avenue de la Grande Armée SE-NO,2023,4,4,1,0,0,0.0,0.0,6.75,0,0,2,991.0
10 avenue de la Grande Armée SE-NO,2023,4,5,2,0,0,0.0,0.0,8.75,0,0,2,934.0
10 avenue de la Grande Armée SE-NO,2023,4,6,3,0,0,0.7,0.0,8.75,0,0,1,830.0
10 avenue de la Grande Armée SE-NO,2023,4,7,4,0,0,0.1,0.0,8.0,0,0,0,796.0
10 avenue de la Grande Armée SE-NO,2023,4,8,5,1,0,0.1,0.0,9.0,0,0,2,541.0
10 avenue de la Grande Armée SE-NO,2023,4,9,6,1,0,0.0,0.0,11.25,0,0,2,524.0
10 avenue de la Grande Armée SE-NO,2023,4,10,0,0,0,0.0,0.0,12.25,1,0,1,353.0
10 avenue de la Grande Armée SE-NO,2023,4,11,1,0,0,0.2,0.0,9.5,0,0,1,717.0
10 avenue de la Grande Armée SE-NO,2023,4,12,2,0,0,2.6,0.0,9.75,0,0,1,620.0
10 avenue de la Grande Armée SE-NO,2023,4,13,3,0,0,0.5,0.0,9.25,0,0,1,811.0
10 avenue de la Grande Armée SE-NO,2023,4,14,4,0,0,0.1,0.0,8.5,0,0,0,648.0
10 avenue de la Grande Armée SE-NO,2023,4,15,5,1,0,0.5,0.0,9.75,0,0,1,474.0
10 avenue de la Grande Armée SE-NO,2023,4,16,6,1,0,0.0,0.0,9.5,0,0,2,591.0
10 avenue de la Grande Armée SE-NO,2023,4,17,0,0,0,0.1,0.0,10.25,0,0,1,774.0
10 avenue de la Grande Armée SE-NO,2023,4,18,1,0,0,0.0,0.0,9.75,0,0,1,830.0
10 avenue de la Grande Armée SE-NO,2023,4,19,2,0,0,0.0,0.0,11.25,0,0,1,1004.0
10 avenue de la Grande Armée SE-NO,2023,4,20,3,0,0,0.0,0.0,8.0,0,0,0,859.0
10 avenue de la Grande Armée SE-NO,2023,4,21,4,0,0,1.4,0.0,10.0,0,0,2,714.0
10 avenue de la Grande Armée SE-NO,2023,4,22,5,1,0,2.2,0.0,9.25,0,0,1,465.0
10 avenue de la Grande Armée SE-NO,2023,4,23,6,1,0,3.7,0.0,10.5,0,0,1,325.0
10 avenue de la Grande Armée SE-NO,2023,4,24,0,0,0,0.7,0.0,10.0,0,0,1,641.0
10 avenue de la Grande Armée SE-NO,2023,4,25,1,0,0,0.2,0.0,7.25,0,0,1,721.0
10 avenue de la Grande Armée SE-NO,2023,4,26,2,0,0,0.0,0.0,9.25,0,0,1,761.0
10 avenue de la Grande Armée SE-NO,2023,4,27,3,0,0,0.1,0.0,12.75,0,0,1,748.0
10 avenue de la Grande Armée SE-NO,2023,4,28,4,0,0,1.3,0.0,15.75,0,0,1,658.0
10 avenue de la Grande Armée SE-NO,2023,4,29,5,1,0,0.2,0.0,13.5,0,0,2,481.0
10 avenue de la Grande Armée SE-NO,2023,4,30,6,1,0,0.0,0.0,12.75,0,0,3,505.0
10 boulevard Auguste Blanqui NE-SO,2023,1,1,6,1,0,0.0,0.0,12.75,1,0,1,351.0
10 boulevard Auguste Blanqui NE-SO,2023,1,2,0,0,0,6.1,0.0,9.5,0,0,1,599.0
10 boulevard Auguste Blanqui NE-SO,2023,1,3,1,0,0,0.0,0.0,7.5,0,0,1,1057.0
10 boulevard Auguste Blanqui NE-SO,2023,1,4,2,0,0,0.0,0.0,10.0,0,0,1,971.0
10 boulevard Auguste Blanqui NE-SO,2023,1,5,3,0,0,0.1,0.0,12.5,0,0,1,1119.0
10 boulevard Auguste Blanqui NE-SO,2023,1,6,4,0,0,0.2,0.0,11.5,0,0,1,1122.0
10 boulevard Auguste Blanqui NE-SO,2023,1,7,5,1,0,0.2,0.0,9.25,0,0,1,768.0
10 boulevard Auguste Blanqui NE-SO,2023,1,8,6,1,0,1.5,0.0,9.5,0,0,1,573.0
10 boulevard Auguste Blanqui NE-SO,2023,1,9,0,0,0,1.2,0.0,7.5,0,0,1,959.0
10 boulevard Auguste Blanqui NE-SO,2023,1,10,1,0,0,1.8,0.0,7.25,0,0,1,970.0
10 boulevard Auguste Blanqui NE-SO,2023,1,11,2,0,0,0.5,0.0,11.0,0,0,1,1091.0
10 boulevard Auguste Blanqui NE-SO,2023,1,12,3,0,0,0.7,0.0,10.25,0,0,1,1056.0
10 boulevard Auguste Blanqui NE-SO,2023,1,13,4,0,0,1.8,0.0,10.0,0,0,1,1047.0
10 boulevard Auguste Blanqui NE-SO,2023,1,14,5,1,0,0.9,0.0,9.0,0,0,1,603.0
10 boulevard Auguste Blanqui NE-SO,2023,1,15,6,1,0,2.2,0.0,7.5,0,0,1,559.0
10 boulevard Auguste Blanqui NE-SO,2023,1,16,0,0,0,4.9,0.0,5.75,0,0,0,788.0
10 boulevard Auguste Blanqui NE-SO,2023,1,17,1,0,0,0.3,0.1,3.5,0,0,0,970.0
